part_id,hh_id,cont_id,part_age,age,part_gender,cnt_gender,cnt_home,cnt_work,cnt_school,cnt_transport,cnt_leisure,cnt_otherplace,frequency_multi,phys_contact,duration_multi,cnt_otherplace_family,cnt_otherplace_grandparents,cnt_hh_member,cnt_occupation,cnt_household_id
5966,BE105966,596625,57,58,M,M,0,0,0,0,0,1,3,2,4,false,false,N,1,5966596625
6286,BE106286,628601,46,81,M,F,1,0,0,0,0,0,1,1,4,false,false,N,2,6286628601
6286,BE106286,628602,46,82,M,M,1,0,0,0,0,0,1,1,4,false,false,N,2,6286628602
6286,BE106286,628603,46,52,M,F,1,0,0,0,0,0,1,1,4,false,false,N,1,6286628603
6286,BE106286,628604,46,20,M,F,0,0,0,0,0,1,3,2,2,false,false,N,6,6286628604
6286,BE106286,628605,46,42,M,F,0,0,0,0,0,1,2,2,2,false,false,N,1,6286628605
6286,BE106286,628606,46,22,M,F,0,0,0,0,0,1,2,2,2,false,false,N,1,6286628606
6286,BE106286,628607,46,42,M,F,0,0,0,0,0,1,3,2,2,false,false,N,1,6286628607
6286,BE106286,628608,46,65,M,M,0,0,1,0,0,0,3,2,1,false,false,N,1,6286628608
6286,BE106286,628609,46,42,M,M,0,0,0,0,0,1,2,2,2,false,false,N,1,6286628609
6286,BE106286,628610,46,80,M,F,0,0,0,0,1,0,2,1,3,false,false,N,2,6286628610
6286,BE106286,628611,46,56,M,F,0,0,0,0,1,0,2,1,3,false,false,N,1,6286628611
6286,BE106286,628612,46,60,M,M,0,0,0,0,1,0,3,1,3,false,false,N,6,6286628612
6286,BE106286,628613,46,42,M,F,0,0,0,0,1,0,5,2,2,false,false,N,1,6286628613
6286,BE106286,628614,46,42,M,M,0,0,0,0,1,0,5,2,2,false,false,N,1,6286628614
6286,BE106286,628615,46,48,M,F,0,0,0,0,0,1,2,1,5,false,false,N,6,6286628615
6286,BE106286,628616,46,48,M,M,0,0,0,0,0,1,2,1,5,false,false,N,1,6286628616
6286,BE106286,628617,46,46,M,M,0,0,0,0,0,1,4,1,5,false,false,N,1,6286628617
