part_id,hh_id,cont_id,part_age,age,part_gender,part_occupation,cnt_gender,cnt_home,cnt_work,cnt_school,cnt_transport,cnt_leisure,cnt_otherplace,frequency_multi,phys_contact,duration_multi,cnt_otherplace_family,cnt_otherplace_grandparents,cnt_hh_member
1856,BE101856,185601,70,44,M,2,F,1,0,0,0,0,0,3,1,3,false,false,N
1856,BE101856,185602,70,9,M,2,F,1,0,0,0,0,0,3,1,3,false,false,N
1856,BE101856,185603,70,62,M,2,M,0,0,0,0,0,1,3,1,4,false,false,N
1856,BE101856,185604,70,42,M,2,F,0,0,0,0,0,1,4,1,4,false,false,N
1856,BE101856,185605,70,42,M,2,F,0,0,0,0,0,1,4,1,4,false,false,N
1856,BE101856,185606,70,37,M,2,M,0,0,0,0,0,1,4,1,4,false,false,N
1856,BE101856,185607,70,52,M,2,M,0,0,0,0,0,1,4,1,4,false,false,N
2251,BE102251,225101,8,41,F,5,F,1,0,0,1,0,1,1,1,5,false,false,Y
2251,BE102251,225102,8,11,F,5,M,1,0,1,1,0,0,1,1,5,false,false,Y
2251,BE102251,225103,8,7,F,5,F,0,0,1,1,0,0,2,1,2,false,false,N
2251,BE102251,225104,8,10,F,5,M,0,0,1,1,0,0,2,1,2,false,false,N
2251,BE102251,225105,8,8,F,5,F,0,0,1,0,0,0,2,1,4,false,false,N
2251,BE102251,225106,8,8,F,5,F,0,0,1,0,0,0,2,1,4,false,false,N
2251,BE102251,225107,8,8,F,5,M,0,0,1,0,0,0,2,1,4,false,false,N
2251,BE102251,225108,8,8,F,5,M,0,0,1,0,0,0,2,1,4,false,false,N
2251,BE102251,225109,8,56,F,5,M,0,0,1,0,0,0,2,1,4,false,false,N
2251,BE102251,225110,8,8,F,5,F,0,0,1,0,0,0,2,1,3,false,false,N
2251,BE102251,225111,8,7,F,5,F,0,0,1,0,0,0,2,1,3,false,false,N
2251,BE102251,225112,8,42,F,5,F,0,0,0,0,0,1,2,1,3,false,false,N
2251,BE102251,225113,8,27,F,5,F,0,0,0,0,0,1,3,1,3,false,false,N
2251,BE102251,225114,8,8,F,5,M,0,0,0,0,0,1,3,1,3,false,false,N
2251,BE102251,225115,8,9,F,5,F,0,0,0,0,0,1,3,1,3,false,false,N
2251,BE102251,225116,8,8,F,5,M,0,0,0,0,0,1,3,1,3,false,false,N
2251,BE102251,225117,8,8,F,5,M,0,0,0,0,0,1,3,1,3,false,false,N
2251,BE102251,225118,8,63,F,5,F,0,0,0,0,0,1,3,2,1,false,false,N
2251,BE102251,225119,8,67,F,5,F,1,0,0,0,0,0,1,1,4,false,false,N
2251,BE102251,225120,8,42,F,5,M,1,0,0,0,0,0,1,1,1,false,false,Y
5294,BE105294,529401,44,35,M,1,F,0,1,0,0,0,0,2,2,5,false,false,N
5294,BE105294,529402,44,55,M,1,M,0,1,0,0,0,0,2,2,5,false,false,N
5294,BE105294,529403,44,45,M,1,F,1,0,0,0,0,0,1,1,5,false,false,Y
5294,BE105294,529404,44,25,M,1,F,0,0,0,0,1,0,3,2,1,false,false,N
5294,BE105294,529405,44,50,M,1,M,0,0,0,0,0,1,4,1,3,false,false,N
5294,BE105294,529406,44,25,M,1,F,0,0,0,0,1,0,4,2,1,false,false,N
5294,BE105294,529407,44,25,M,1,F,0,0,0,0,1,0,5,,1,false,false,N
5294,BE105294,529408,44,25,M,1,F,0,0,0,0,1,0,5,,1,false,false,N
5294,BE105294,529409,44,25,M,1,F,0,0,0,0,1,0,5,,1,false,false,N
5294,BE105294,529410,44,25,M,1,M,0,0,0,0,1,0,5,,1,false,false,N
5966,BE105966,596601,57,56,M,1,F,1,0,0,0,0,0,1,2,4,false,false,Y
5966,BE105966,596602,57,80,M,1,F,0,0,0,0,0,1,2,2,3,false,false,N
5966,BE105966,596603,57,45,M,1,F,0,1,0,0,0,0,2,1,5,false,false,N
5966,BE105966,596604,57,45,M,1,M,0,1,0,0,0,0,2,1,5,false,false,N
5966,BE105966,596605,57,35,M,1,F,0,1,0,0,0,0,2,1,5,false,false,N
5966,BE105966,596606,57,25,M,1,F,0,1,0,0,0,0,2,1,5,false,false,N
5966,BE105966,596607,57,35,M,1,F,0,1,0,0,0,0,2,1,5,false,false,N
5966,BE105966,596608,57,42,M,1,M,0,1,0,0,0,0,2,1,3,false,false,N
5966,BE105966,596609,57,25,M,1,F,0,1,0,0,0,0,2,2,4,false,false,N
5966,BE105966,596610,57,31,M,1,M,0,1,0,0,0,0,3,2,3,false,false,N
5966,BE105966,596611,57,45,M,1,M,0,1,0,0,0,0,2,1,3,false,false,N
5966,BE105966,596612,57,42,M,1,M,0,1,0,0,0,0,2,1,3,false,false,N
5966,BE105966,596613,57,52,M,1,M,0,1,0,0,0,0,3,1,2,false,false,N
5966,BE105966,596614,57,56,M,1,M,0,0,0,0,0,1,3,2,4,false,false,N
5966,BE105966,596615,57,65,M,1,M,0,0,0,0,0,1,3,2,4,false,false,N
5966,BE105966,596616,57,47,M,1,M,0,0,0,0,0,1,3,2,4,false,false,N
5966,BE105966,596617,57,35,M,1,F,0,0,0,0,0,1,3,2,4,false,false,N
