part_id,hh_id,part_age,part_gender,part_occupation
423858,BE10423858,34,F,1
426803,BE10426803,71,M,2
427469,BE10427469,17,M,5
429622,BE10429622,35,F,1
433959,BE10433959,70,F,2
434554,BE10434554,7,M,5
437552,BE10437552,0,M,3
440307,BE10440307,17,M,5
440673,BE10440673,25,F,1
444168,BE10444168,60,F,1
445518,BE10445518,33,F,1
447699,BE10447699,27,M,1
450487,BE10450487,42,F,1
452932,BE10452932,56,F,3
459120,BE10459120,64,F,3
461022,BE10461022,3,F,5
462393,BE10462393,30,F,1
475876,BE10475876,80,M,2
479362,BE10479362,31,M,1
483004,BE10483004,56,F,4
483452,BE10483452,19,F,5
484521,BE10484521,18,M,5
485163,BE10485163,1,F,3
487913,BE10487913,52,M,1
493829,BE10493829,10,M,5
494521,BE10494521,71,F,2
496477,BE10496477,29,F,1
498382,BE10498382,32,F,1
498428,BE10498428,25,F,1
499299,BE10499299,74,F,3
502804,BE10502804,74,M,2
505287,BE10505287,3,M,5
510954,BE10510954,38,F,1
512085,BE10512085,14,F,5
519786,BE10519786,49,M,1
519853,BE10519853,26,M,1
526803,BE10526803,21,F,5
527040,BE10527040,52,M,1
527208,BE10527208,35,F,1
527263,BE10527263,67,F,2
531555,BE10531555,48,M,6
533030,BE10533030,9,M,5
534460,BE10534460,57,F,4
534636,BE10534636,20,F,5
537177,BE10537177,52,M,2
545163,BE10545163,3,F,5
545368,BE10545368,67,F,2
545556,BE10545556,5,M,5
546107,BE10546107,51,F,1
546929,BE10546929,47,F,1
547516,BE10547516,20,M,1
548628,BE10548628,0,M,6
551273,BE10551273,33,F,1
553002,BE10553002,41,F,1
553393,BE10553393,7,F,5
556142,BE10556142,16,F,5
556706,BE10556706,19,M,4
561144,BE10561144,50,M,1
566160,BE10566160,53,F,3
566343,BE10566343,13,F,5
566367,BE10566367,15,M,5
571109,BE10571109,45,F,1
571324,BE10571324,30,M,1
572734,BE10572734,4,F,5
576031,BE10576031,8,M,5
576680,BE10576680,27,F,1
581550,BE10581550,68,M,2
583315,BE10583315,44,M,1
584049,BE10584049,27,F,1
584918,BE10584918,53,M,1
592766,BE10592766,32,F,1
593600,BE10593600,39,M,1
594259,BE10594259,62,M,2
597056,BE10597056,6,M,5
598711,BE10598711,47,M,1
603778,BE10603778,44,M,1
604026,BE10604026,48,M,1
604197,BE10604197,74,F,2
606424,BE10606424,73,F,2
611896,BE10611896,5,M,5
616530,BE10616530,60,M,2
617467,BE10617467,46,F,1
617545,BE10617545,39,F,3
621307,BE10621307,34,M,1
621662,BE10621662,22,F,5
624215,BE10624215,80,F,3
