part_id,part_age,part_gender,part_occupation
739384,43,M,1
739663,46,F,1
740381,73,M,2
746979,78,M,2
747173,6,M,5
748866,41,F,1
749014,13,M,5
751429,28,M,1
754840,12,M,5
755264,13,M,5
756792,11,F,5
759592,40,F,1
760289,24,M,5
764060,18,M,5
766042,22,F,5
767949,47,F,1
771592,21,M,5
772138,59,F,3
774736,42,F,1
775087,9,M,5
781682,32,F,1
787147,34,F,1
787539,62,F,3
790064,20,M,5
791137,9,F,5
792729,44,F,1
793721,35,F,1
797468,3,F,5
797667,36,M,1
798806,43,F,6
798895,42,F,1
799900,8,M,5
801970,45,F,1
802686,47,F,1
802823,39,F,4
802832,50,M,1
813637,51,F,1
814881,11,F,5
826660,7,M,5
831234,8,F,5
831518,12,F,5
832009,39,F,1
834865,29,F,1
837008,3,F,5
837912,44,F,1
841628,52,F,1
844285,0,M,3
844699,19,F,5
845019,49,M,1
845035,77,F,3
850275,33,M,1
851575,45,F,1
853727,45,F,1
853919,35,M,1
854253,15,M,5
856642,71,F,2
859753,52,M,1
862923,27,F,1
866483,28,M,1
866536,68,M,2
868501,11,M,5
869204,38,M,1
869675,24,F,1
871264,76,M,2
874422,55,M,1
876164,27,F,5
878600,51,F,3
878809,58,F,2
879982,17,M,5
881301,14,F,5
883085,42,F,1
883511,78,M,2
884944,47,F,1
885323,50,F,3
886395,61,F,3
892394,54,F,3
892572,36,F,1
895396,39,F,1
898358,44,F,1
899590,1,M,3
901352,45,M,1
901586,19,M,1
902398,51,M,4
902660,27,M,1
905077,52,F,1
906618,76,M,2
907565,52,F,1
909993,78,F,6
910862,10,M,5
913997,3,M,5
915270,26,F,1
921579,50,F,1
926690,66,F,3
930186,64,F,2
930187,2,M,6
930308,46,M,1
930356,48,F,1
930901,68,F,2
930964,7,F,5
931504,68,F,2
936337,52,F,1
938549,52,F,1
944692,4,F,5
944749,53,F,1
944990,51,F,1
945296,35,F,1
945501,51,M,1
946711,63,F,2
952348,60,F,2
953000,11,M,5
959305,52,F,1
962023,49,M,1
964077,18,F,5
964389,43,F,5
967582,54,F,1
968599,14,M,5
969754,3,M,5
972028,14,F,5
975577,64,M,2
979882,1,M,6
980672,18,F,5
981565,12,F,5
981597,44,F,1
983741,48,F,1
985649,18,F,5
988228,1,F,6
990252,66,M,2
990294,32,M,1
990329,78,M,2
990337,18,M,5
992362,36,M,1
996719,46,M,1
1000843,53,M,6
1003610,56,F,2
1005126,40,M,1
1005762,26,F,1
1005905,14,M,5
1011828,82,M,2
1016821,59,F,4
1017095,2,F,3
1019095,83,F,3
1019574,48,F,1
1026157,52,M,2
1027212,73,F,3
1028025,19,M,5
1029936,76,F,2
1030663,51,F,1
1037871,37,M,1
1041723,28,M,1
1043071,49,F,1
1051948,8,F,5
1053693,13,M,5
1054233,21,M,5
1057283,41,M,1
1057506,38,M,1
1060168,52,F,4
1064981,24,F,4
1067418,9,F,5
1068095,71,F,3
1068149,76,F,2
1068877,79,F,2
1072212,41,F,1
1072456,49,F,1
1075546,12,F,5
1076443,73,M,2
1081630,3,M,5
1084847,42,F,1
1085840,14,F,5
1086599,38,F,1
1088788,73,M,2
1090305,28,M,1
1091460,62,F,2
1096591,68,F,3
1104249,0,M,3
1105569,27,M,1
1107712,29,F,1
1113927,55,F,1
1114184,20,M,1
1114887,35,F,1
1115018,54,F,1
1117070,69,F,2
1123048,6,M,5
1126974,5,F,5
1128879,27,F,1
1129094,6,F,5
1136587,45,F,1
1138872,37,F,1
1139114,5,M,5
1139663,35,F,1
1142837,6,M,5
1142887,54,M,1
1143659,27,F,1
1143801,41,M,1
1144615,26,M,1
1149676,8,M,5
1152737,59,M,2
1154720,15,M,5
1158201,44,M,1
1158611,68,F,2
1159748,32,M,1
1161155,49,M,1
1161194,38,F,1
1163713,21,M,5
1164032,22,M,5
1164069,50,M,1
1164567,54,F,2
1167219,87,F,2
1168759,35,F,1
1169919,41,F,1
1174403,33,F,1
1179706,30,M,1
1186038,22,F,5
1186234,50,F,1
1189640,12,F,5
1190016,2,M,5
1191518,51,F,1
1192108,59,M,4
1196216,62,M,2
1196611,54,F,2
1203886,30,M,1
1204174,42,F,1
1207442,33,F,1
1207547,43,F,1
1208537,7,M,5
1215498,39,M,6
1218302,52,F,1
1219128,10,M,5
1220261,41,F,1
1221734,51,F,1
1221862,36,F,1
1230767,52,M,1
1230823,38,M,4
