sim_step,Δ,δ,c,per_infected,βd,βₑ,βᵢ,γₑ,γₐ,avg_he_size,avg_degree,avg_direct_contacts,new_agents,moved_agents,perc_infected_agents,perc_infected_locations
1,nothing,600000 milliseconds,5,0.2,0.2,0.06,0.1,0.06,0.1,85.3228602383532,15.7506,0.0044607648962782945,5000,113868,0.9774,0.27302275189599134
1,nothing,600000 milliseconds,5,0.2,0.2,0.06,0.1,0.06,0.1,85.3228602383532,15.7506,0.0044607648962782945,5000,113868,0.9776,0.24268689057421453
1,nothing,600000 milliseconds,5,0.2,0.2,0.06,0.1,0.06,0.1,85.3228602383532,15.7506,0.0044607648962782945,5000,113868,0.9782,0.27302275189599134
1,nothing,600000 milliseconds,5,0.2,0.2,0.06,0.1,0.06,0.1,85.3228602383532,15.7506,0.0044607648962782945,5000,113868,0.9774,0.24702058504875407
