id,num_contact,age,occupation
401,234,49,1
402,24,77,3
403,257,33,1
404,147,45,1
405,117,45,1
406,118,35,1
407,214,15,5
408,12,71,3
409,127,52,1
410,238,27,1
411,131,28,1
412,14,68,3
413,220,11,5
414,210,38,1
415,227,24,1
416,12,76,3
417,109,55,1
418,237,27,5
419,14,51,3
420,5,58,3
421,280,17,5
422,238,14,5
423,219,42,1
424,15,78,3
425,111,47,1
426,19,50,3
427,10,61,3
428,25,54,3
429,139,36,1
430,117,39,1
431,119,44,1
432,14,1,3
433,227,45,1
434,228,19,1
435,24,51,3
436,131,27,1
437,120,52,1
438,17,76,3
439,123,52,1
440,13,78,3
441,219,10,5
442,266,3,5
443,237,26,1
444,127,50,1
445,8,66,3
446,14,64,3
447,35,2,3
448,126,46,1
449,117,48,1
450,24,68,3
451,212,7,5
452,4,68,3
453,134,52,1
454,131,52,1
455,226,4,5
456,218,53,1
457,231,51,1
458,227,35,1
459,122,51,1
460,24,63,3
461,5,60,3
462,220,11,5
463,119,52,1
464,185,49,1
465,236,18,5
466,260,43,5
467,220,54,1
468,208,14,5
469,256,3,5
470,219,14,5
471,22,64,3
472,18,1,3
473,201,18,5
474,195,12,5
475,240,44,1
476,146,48,1
477,241,18,5
478,14,1,3
479,7,66,3
480,241,32,1
481,9,78,3
482,245,18,5
483,128,36,1
484,255,46,1
485,214,53,1
486,2,56,3
487,131,40,1
488,114,26,1
489,230,14,5
490,26,82,3
491,9,59,3
492,35,2,3
493,14,83,3
494,141,48,1
495,10,52,3
496,18,73,3
497,227,19,5
498,21,76,3
499,217,51,1
500,127,37,1
501,219,28,1
502,114,49,1
503,247,8,5
504,239,13,5
505,232,21,5
506,117,41,1
507,217,38,1
508,25,52,3
509,31,24,3
510,231,9,5
511,17,71,3
512,15,76,3
513,18,79,3
514,139,41,1
515,236,49,1
516,191,12,5
517,14,73,3
518,204,3,5
519,101,42,1
520,214,14,5
521,118,38,1
522,35,73,3
523,123,28,1
524,33,62,3
525,17,68,3
526,18,0,3
527,223,27,1
528,140,29,1
529,152,55,1
530,124,20,1
531,225,35,1
532,245,54,1
533,31,69,3
534,246,6,5
535,233,5,5
536,142,27,1
537,213,6,5
538,138,45,1
539,239,37,1
540,236,5,5
541,207,35,1
542,236,6,5
543,224,54,1
544,206,27,1
545,244,41,1
546,108,26,1
547,235,8,5
548,16,59,3
549,238,15,5
550,131,44,1
551,26,68,3
552,226,32,1
553,128,49,1
554,110,38,1
555,222,21,5
556,241,22,5
557,274,50,1
558,11,54,3
559,1,87,3
560,123,35,1
561,216,41,1
562,228,33,1
563,140,30,1
564,229,22,5
565,206,50,1
566,222,12,5
567,274,2,5
568,191,51,1
569,28,59,3
570,15,62,3
571,7,54,3
572,241,30,1
573,233,42,1
574,123,33,1
575,134,43,1
576,219,7,5
577,110,39,1
578,242,52,1
579,233,10,5
580,106,41,1
581,157,51,1
582,124,36,1
583,236,52,1
584,22,38,3
585,18,2,3
586,235,8,5
587,221,27,1
588,17,50,3
589,25,0,3
590,111,36,1
591,227,2,5
592,223,50,1
593,234,44,1
594,20,72,3
595,21,60,3
596,116,27,1
597,117,46,1
598,237,26,1
599,247,9,5
600,130,55,1
601,237,48,1
602,226,35,5
603,19,85,3
604,120,39,1
605,248,16,5
606,97,36,1
607,231,7,5
608,121,39,1
609,219,39,1
610,121,51,1
611,11,66,3
612,121,58,1
613,233,48,1
614,126,61,1
615,122,38,1
616,254,8,5
617,233,20,5
618,218,36,1
619,231,12,5
620,23,72,3
621,127,58,1
622,242,47,1
623,129,37,1
624,22,84,3
625,127,31,1
626,7,84,3
627,135,47,1
628,245,44,1
629,211,20,5
630,135,19,1
631,129,40,1
632,137,31,1
633,153,47,1
634,104,26,1
635,232,45,1
636,232,40,1
637,112,34,1
638,118,40,1
639,218,17,5
640,111,49,1
641,206,53,1
642,238,8,5
643,27,67,3
644,228,8,5
645,211,18,5
646,14,64,3
647,16,65,3
648,31,25,3
649,22,2,3
650,136,34,1
651,234,2,5
652,18,90,3
653,244,4,5
654,137,29,1
655,141,61,1
656,215,3,5
657,190,12,5
658,218,9,5
659,9,71,3
660,221,8,5
661,12,65,3
662,131,42,1
663,35,64,3
664,121,29,1
665,253,44,1
666,127,49,1
667,127,34,1
668,24,0,3
669,29,49,3
670,100,44,1
671,21,0,3
672,135,45,1
673,189,17,5
674,109,40,1
675,236,10,5
676,232,53,1
677,133,28,1
678,123,38,1
679,264,10,5
680,239,54,1
681,217,15,5
682,209,49,1
683,19,41,3
684,237,19,5
685,22,92,3
686,210,5,5
687,212,6,5
688,231,49,1
689,243,3,5
690,25,38,3
691,222,17,5
692,218,46,1
693,21,0,3
694,231,42,1
695,7,51,3
696,23,73,3
697,204,11,5
698,215,39,1
699,18,0,3
700,10,1,3
701,240,23,1
702,237,6,5
703,238,15,5
704,223,15,5
705,246,11,5
706,226,7,5
707,125,30,1
708,215,9,5
709,7,54,3
710,223,49,1
711,7,71,3
712,219,7,5
713,134,46,1
714,136,30,1
715,9,0,3
716,155,28,1
717,211,43,1
718,136,42,1
719,200,24,5
720,22,61,3
721,15,64,3
722,228,46,1
723,133,31,1
724,1,70,3
725,171,51,1
726,128,43,1
727,139,35,1
728,140,28,1
729,133,49,1
730,241,32,1
731,128,47,1
732,222,28,1
733,126,41,1
734,128,50,1
735,238,26,1
736,210,16,5
737,146,47,1
738,29,70,3
739,209,34,1
740,115,49,1
741,28,58,3
742,25,0,3
743,112,43,1
744,144,26,1
745,12,63,3
746,124,26,1
747,122,44,1
748,216,8,5
749,221,51,1
750,155,51,1
751,12,65,3
752,238,24,1
753,122,41,1
754,228,53,1
755,12,77,3
756,139,37,1
757,271,53,1
758,37,0,3
759,227,2,5
760,127,49,1
761,230,2,5
762,129,46,1
763,8,31,3
764,136,34,1
765,154,49,1
766,141,39,1
767,122,33,1
768,40,62,3
769,26,0,3
770,231,3,5
771,122,37,1
772,216,25,1
773,108,46,1
774,24,1,3
775,208,36,1
776,219,21,5
777,155,47,1
778,14,33,3
779,240,34,1
780,21,64,3
781,115,35,1
782,141,47,1
783,227,7,5
784,2,84,3
785,195,35,1
786,216,23,5
787,100,53,1
788,29,77,3
789,119,30,1
790,28,73,3
791,224,23,5
792,25,42,3
